difficulty,system,n,precision_at_1,temporal_precision_at_1,keyword_hit_rate,temporal_hallucination_rate
easy,BM25,8,0.25,0.125,0.6354166666666666,0.0
easy,LLMOnly,8,0.0,0.0,0.9375,0.0
easy,NaiveRAG,8,0.25,0.0,0.71875,0.0
easy,PV-RAG,8,0.375,0.375,0.8020833333333333,0.0833333333333333
easy,PV-RAG-NoGraph,8,0.375,0.375,0.7708333333333333,0.04166666666666665
easy,TemporalOnly,8,0.25,0.5,0.7291666666666666,0.08333333333333331
medium,BM25,8,0.375,0.0,0.75,0.0
medium,LLMOnly,8,0.0,0.0,0.9583333333333333,0.0
medium,NaiveRAG,8,0.625,0.125,0.7916666666666666,0.0
medium,PV-RAG,8,0.625,0.25,0.7916666666666666,0.020833333333333325
medium,PV-RAG-NoGraph,8,0.625,0.25,0.7916666666666666,0.020833333333333325
medium,TemporalOnly,8,0.5,0.375,0.8333333333333333,0.0
hard,BM25,11,0.5454545454545454,0.0,0.7893939393939394,0.0303030303030303
hard,LLMOnly,11,0.0,0.0,0.8939393939393938,0.0303030303030303
hard,NaiveRAG,11,0.6363636363636364,0.09090909090909091,0.7893939393939394,0.08333333333333333
hard,PV-RAG,11,0.6363636363636364,0.18181818181818182,0.7772727272727273,0.07575757575757575
hard,PV-RAG-NoGraph,11,0.6363636363636364,0.18181818181818182,0.7772727272727273,0.07575757575757575
hard,TemporalOnly,11,0.36363636363636365,0.5454545454545454,0.7772727272727273,0.0606060606060606
